2025-10-21 14:44:34,822 - INFO - Loading input XYZ: 01_all_xtb_sampled/01_all_xtb_sampled_part_5.xyz
2025-10-21 14:44:34,881 - INFO - Loaded 142 frames
2025-10-21 14:44:34,882 - INFO - xTB method initialized: GFN2-xTB
2025-10-21 14:45:59,006 - INFO - Frame 69: energy = -6053.074037 eV, forces OK
2025-10-21 14:46:00,493 - INFO - Frame 70: energy = -6048.746379 eV, forces OK
2025-10-21 14:46:01,684 - INFO - Frame 71: energy = -6050.906927 eV, forces OK
2025-10-21 14:46:02,778 - INFO - Frame 72: energy = -6051.756404 eV, forces OK
2025-10-21 14:46:03,815 - INFO - Frame 73: energy = -6051.992532 eV, forces OK
2025-10-21 14:46:04,894 - INFO - Frame 74: energy = -6052.455959 eV, forces OK
2025-10-21 14:46:05,925 - INFO - Frame 75: energy = -6052.569643 eV, forces OK
2025-10-21 14:46:06,664 - INFO - Frame 76: energy = -6052.570981 eV, forces OK
2025-10-21 14:46:07,979 - INFO - Frame 77: energy = -6047.488637 eV, forces OK
2025-10-21 14:46:09,135 - INFO - Frame 78: energy = -6050.336892 eV, forces OK
2025-10-21 14:46:10,296 - INFO - Frame 79: energy = -6051.522431 eV, forces OK
2025-10-21 14:46:11,363 - INFO - Frame 80: energy = -6051.855548 eV, forces OK
2025-10-21 14:46:12,413 - INFO - Frame 81: energy = -6051.953304 eV, forces OK
2025-10-21 14:46:13,530 - INFO - Frame 82: energy = -6052.148214 eV, forces OK
2025-10-21 14:46:14,610 - INFO - Frame 83: energy = -6052.364148 eV, forces OK
2025-10-21 14:46:15,666 - INFO - Frame 84: energy = -6052.660653 eV, forces OK
2025-10-21 14:46:16,735 - INFO - Frame 85: energy = -6052.899644 eV, forces OK
2025-10-21 14:46:17,611 - INFO - Frame 86: energy = -6052.912388 eV, forces OK
2025-10-21 14:46:19,825 - INFO - Frame 87: energy = -6047.723057 eV, forces OK
2025-10-21 14:46:20,992 - INFO - Frame 88: energy = -6050.559055 eV, forces OK
2025-10-21 14:46:22,055 - INFO - Frame 89: energy = -6051.081379 eV, forces OK
2025-10-21 14:46:23,126 - INFO - Frame 90: energy = -6051.440058 eV, forces OK
2025-10-21 14:46:24,184 - INFO - Frame 91: energy = -6051.599889 eV, forces OK
2025-10-21 14:46:25,255 - INFO - Frame 92: energy = -6051.710458 eV, forces OK
2025-10-21 14:46:26,321 - INFO - Frame 93: energy = -6051.812550 eV, forces OK
2025-10-21 14:46:27,137 - INFO - Frame 94: energy = -6051.816171 eV, forces OK
2025-10-21 14:46:29,423 - INFO - Frame 95: energy = -6047.754885 eV, forces OK
2025-10-21 14:46:30,531 - INFO - Frame 96: energy = -6050.309750 eV, forces OK
2025-10-21 14:46:31,647 - INFO - Frame 97: energy = -6050.605793 eV, forces OK
2025-10-21 14:46:32,744 - INFO - Frame 98: energy = -6050.982733 eV, forces OK
2025-10-21 14:46:33,823 - INFO - Frame 99: energy = -6051.273736 eV, forces OK
2025-10-21 14:46:34,851 - INFO - Frame 100: energy = -6051.454769 eV, forces OK
2025-10-21 14:46:35,920 - INFO - Frame 101: energy = -6051.741881 eV, forces OK
2025-10-21 14:46:36,955 - INFO - Frame 102: energy = -6052.136084 eV, forces OK
2025-10-21 14:46:38,049 - INFO - Frame 103: energy = -6052.524630 eV, forces OK
2025-10-21 14:46:39,085 - INFO - Frame 104: energy = -6052.558423 eV, forces OK
2025-10-21 14:46:41,405 - INFO - Frame 105: energy = -6046.817368 eV, forces OK
