AtomIdx,Elem,Neighbors,AvgWBO,AngleMean,AngleCnt,Aromatic,Hybrid_V2,NuclearCharge,ElectronPop,NMB_Pop,NPA_Charge,s,p,d,f,g,ps_ratio
0,X,43,22.0,,0,False,sp3,,,,,,,,,,
1,X,375,20.605369653333334,,0,False,sp3,6.0,6.3540875,6.3446985,-0.3540875049,3.0578576,3.2938258,0.0024041,0.0,0.0,1.0771678184098565
2,X,268,24.297672835820894,,0,False,sp3,6.0,6.243515,6.2278008,-0.2435149988,2.956315,3.2843913,0.0028087,0.0,0.0,1.1109747438956943
3,X,143,3.550456783216783,,0,False,sp3,1.0,0.7718018,0.7694279,0.2281982208,0.7706508,0.001151,0.0,0.0,0.0,0.0014935428601384698
4,X,277,143.0717407942238,,0,False,sp3,1.0,0.7954574,0.7926815,0.2045425735,0.7943071,0.0011504,0.0,0.0,0.0,0.0014483063288745625
5,X,336,88.88321547619047,,0,False,sp3,6.0,6.0616416,6.046428,-0.0616415713,2.8709203,3.1873861,0.0033353,0.0,0.0,1.1102314822184371
6,X,336,122.42261904761905,,0,False,sp3,1.0,0.7684226,0.7649319,0.2315774101,0.7672804,0.0011422,0.0,0.0,0.0,0.0014886344027554984
7,X,338,123.25147928994083,,0,False,sp3,6.0,6.1884488,6.1742306,-0.18844883,2.9398203,3.2458913,0.0027373,0.0,0.0,1.1041121459022512
8,X,194,23.755304639175257,,0,False,sp3,6.0,6.2142674,6.1987328,-0.2142673764,2.9392427,3.272226,0.0027986,0.0,0.0,1.1132888073516352
9,X,121,4.896570247933885,,0,False,sp3,6.0,6.0975137,6.0804309,-0.0975137018,2.8609498,3.2334679,0.003096,0.0,0.0,1.1302078421648643
10,X,9,158.44444444444446,,0,False,sp3,6.0,6.196336,6.1814237,-0.1963359944,2.9412294,3.2523897,0.0027169,0.0,0.0,1.1057925981564036
11,X,9,54.111111111111114,,0,False,sp3,6.0,6.2253463,6.210716,-0.2253462843,2.9385142,3.2840075,0.0028246,0.0,0.0,1.1175741468256304
12,X,7,91.71428571428571,,0,False,sp3,1.0,0.7577721,0.754788,0.2422278582,0.7566407,0.0011315,0.0,0.0,0.0,0.001495425768135391
13,X,7,103.14285714285714,,0,False,sp3,1.0,0.7685957,0.7655099,0.231404295,0.7674564,0.0011393,0.0,0.0,0.0,0.001484514299444242
14,X,7,76.85714285714286,,0,False,sp3,1.0,0.7600511,0.7566349,0.2399489102,0.7588941,0.001157,0.0,0.0,0.0,0.0015245868955892528
15,X,7,26.428571428571427,,0,False,sp3,1.0,0.7597107,0.7567323,0.2402892725,0.7585914,0.0011194,0.0,0.0,0.0,0.0014756296999939625
16,X,10,43.6,,0,False,sp3,6.0,6.252226,6.2321558,-0.2522260463,2.9959137,3.2521184,0.0041939,0.0,0.0,1.0855180508036664
17,X,9,48.333333333333336,,0,False,sp3,7.0,7.5097426,7.4961521,-0.5097426242,3.2344394,4.2701963,0.0051068,0.0,0.0,1.3202276413031577
18,X,7,83.71428571428571,,0,False,sp3,1.0,0.7958418,0.791663,0.2041582392,0.7947953,0.0010464,0.0,0.0,0.0,0.0013165654099866974
19,X,7,112.42857142857143,,0,False,sp3,1.0,0.7444416,0.7410518,0.2555584303,0.7433167,0.0011249,0.0,0.0,0.0,0.0015133522494516806
20,X,10,6.6,,0,False,sp3,6.0,6.0265915,6.0041764,-0.0265914727,3.0167477,3.0045479,0.0052959,0.0,0.0,0.9959559760333953
21,X,10,25.6,,0,False,sp3,6.0,6.2652768,6.2456044,-0.265276754,3.0169383,3.2439967,0.0043417,0.0,0.0,1.0752612010659945
22,X,10,7.8,,0,False,sp3,6.0,6.2613022,6.2466704,-0.2613021927,3.0444258,3.2132803,0.0035962,0.0,0.0,1.055463496597618
23,X,7,87.28571428571429,,0,False,sp3,1.0,0.7515367,0.7482911,0.2484633307,0.7504308,0.0011059,0.0,0.0,0.0,0.0014736868476080674
24,X,7,137.71428571428572,,0,False,sp3,1.0,0.7187442,0.7160834,0.281255831,0.7176441,0.0011,0.0,0.0,0.0,0.001532793204876902
25,X,10,48.7,,0,False,sp3,7.0,7.5063187,7.4987121,-0.5063186941,3.3137824,4.1890412,0.0034951,0.0,0.0,1.2641268177415632
26,X,7,82.85714285714286,,0,False,sp3,1.0,0.7334548,0.7307519,0.2665451968,0.7323197,0.0011351,0.0,0.0,0.0,0.0015500060970638917
27,X,7,81.28571428571429,,0,False,sp3,1.0,0.7493849,0.7463388,0.2506151396,0.748277,0.0011079,0.0,0.0,0.0,0.0014806014350300758
28,X,7,109.14285714285714,,0,False,sp3,1.0,0.7454888,0.7427668,0.2545111998,0.7443418,0.001147,0.0,0.0,0.0,0.0015409587369673448
29,X,7,8.714285714285714,,0,False,sp3,1.0,0.7568385,0.7533668,0.2431615497,0.7556121,0.0012264,0.0,0.0,0.0,0.0016230550040159497
30,X,10,64.9,,0,False,sp3,6.0,6.2265359,6.2115391,-0.2265358646,3.0180617,3.2046563,0.0038178,0.0,0.0,1.0618259726101689
31,X,10,81.4,,0,False,sp3,6.0,6.4782212,6.4655869,-0.4782212486,3.0263822,3.4489423,0.0028968,0.0,0.0,1.1396254907922734
32,X,7,91.42857142857143,,0,False,sp3,1.0,0.7540621,0.7507117,0.2459378657,0.752953,0.0011092,0.0,0.0,0.0,0.001473133117206519
33,X,7,85.42857142857143,,0,False,sp3,1.0,0.7479593,0.7445922,0.2520406894,0.7468476,0.0011117,0.0,0.0,0.0,0.00148852322749648
34,X,10,9.8,,0,False,sp3,6.0,6.4506764,6.4393718,-0.4506763752,3.0239978,3.423725,0.0029535,0.0,0.0,1.1321850168012688
35,X,7,106.85714285714286,,0,False,sp3,1.0,0.7623825,0.7582981,0.2376174847,0.7613138,0.0010687,0.0,0.0,0.0,0.001403757557002119
36,X,7,86.28571428571429,,0,False,sp3,1.0,0.760247,0.7564232,0.2397530439,0.7592006,0.0010464,0.0,0.0,0.0,0.0013782918506650285
37,X,10,63.4,,0,False,sp3,6.0,6.6621281,6.6534252,-0.6621281038,3.0991731,3.5606696,0.0022854,0.0,0.0,1.1489095591336929
38,X,7,89.85714285714286,,0,False,sp3,1.0,0.7660564,0.7623141,0.2339435955,0.7650027,0.0010537,0.0,0.0,0.0,0.0013773807595711754
39,X,7,19.571428571428573,,0,False,sp3,1.0,0.7652134,0.7614547,0.2347865809,0.7641607,0.0010527,0.0,0.0,0.0,0.0013775898184766632
40,X,7,76.85714285714286,,0,False,sp3,1.0,0.771455,0.7688444,0.2285449911,0.7704109,0.0010441,0.0,0.0,0.0,0.0013552508148573703
41,X,7,85.42857142857143,,0,False,sp3,1.0,0.7504183,0.748217,0.2495816768,0.749391,0.0010273,0.0,0.0,0.0,0.0013708464606593889
42,X,7,113.28571428571429,,0,False,sp3,1.0,0.7705849,0.7679649,0.2294150649,0.7695403,0.0010447,0.0,0.0,0.0,0.0013575637299307133
43,X,7,102.71428571428571,,0,False,sp3,1.0,0.5539028,0.5478737,0.4460972018,0.5519501,0.0019527,0.0,0.0,0.0,0.0035378198137838907
44,X,6,28.833333333333332,,0,False,sp3,,,,,,,,,,
45,X,8,10.302399999999999,,0,False,sp3,,,,,,,,,,
46,X,7,26.138502857142857,,0,False,sp3,,,,,,,,,,
47,X,7,25.98162857142857,,0,False,sp3,,,,,,,,,,
48,X,7,19.567019999999996,,0,False,sp3,,,,,,,,,,
49,X,7,19.40555714285714,,0,False,sp3,,,,,,,,,,
50,X,8,17.3374125,,0,False,sp3,,,,,,,,,,
51,X,9,20.77510888888889,,0,False,sp3,,,,,,,,,,
52,X,6,35.5,,0,False,sp3,,,,,,,,,,
53,X,7,15.5251,,0,False,sp3,,,,,,,,,,
54,X,41,55.21951219512195,,0,False,sp3,,,,,,,,,,
55,X,8,11.9807875,,0,False,sp3,,,,,,,,,,
56,X,6,15.666666666666666,,0,False,sp3,,,,,,,,,,
57,X,8,26.7157,,0,False,sp3,,,,,,,,,,
58,X,7,28.52687142857143,,0,False,sp3,,,,,,,,,,
59,X,7,18.676,,0,False,sp3,,,,,,,,,,
60,X,6,21.666666666666668,,0,False,sp3,,,,,,,,,,
61,X,8,16.4853375,,0,False,sp3,,,,,,,,,,
62,X,8,20.585561249999998,,0,False,sp3,,,,,,,,,,
63,X,8,20.4631,,0,False,sp3,,,,,,,,,,
64,X,7,20.571282857142858,,0,False,sp3,,,,,,,,,,
65,X,8,18.969525,,0,False,sp3,,,,,,,,,,
66,X,7,21.093485714285716,,0,False,sp3,,,,,,,,,,
67,X,7,26.138502857142857,,0,False,sp3,,,,,,,,,,
68,X,7,36.28252428571428,,0,False,sp3,,,,,,,,,,
69,X,6,42.0,,0,False,sp3,,,,,,,,,,
70,X,8,17.34705,,0,False,sp3,,,,,,,,,,
71,X,8,22.1763125,,0,False,sp3,,,,,,,,,,
72,X,8,23.257662500000002,,0,False,sp3,,,,,,,,,,
73,X,8,31.6097,,0,False,sp3,,,,,,,,,,
74,X,6,41.833333333333336,,0,False,sp3,,,,,,,,,,
75,X,7,27.244757142857143,,0,False,sp3,,,,,,,,,,
76,X,6,31.666666666666668,,0,False,sp3,,,,,,,,,,
77,X,8,25.24655,,0,False,sp3,,,,,,,,,,
78,X,7,28.57127857142857,,0,False,sp3,,,,,,,,,,
79,X,8,29.5460375,,0,False,sp3,,,,,,,,,,
80,X,6,38.333333333333336,,0,False,sp3,,,,,,,,,,
81,X,8,22.838675000000002,,0,False,sp3,,,,,,,,,,
82,X,8,25.83540125,,0,False,sp3,,,,,,,,,,
83,X,7,29.2452,,0,False,sp3,,,,,,,,,,
84,X,8,33.07416125,,0,False,sp3,,,,,,,,,,
85,X,6,43.666666666666664,,0,False,sp3,,,,,,,,,,
86,X,6,42.0,,0,False,sp3,,,,,,,,,,
87,X,8,22.299522500000002,,0,False,sp3,,,,,,,,,,
88,X,7,25.243257142857143,,0,False,sp3,,,,,,,,,,
89,X,7,30.532514285714285,,0,False,sp3,,,,,,,,,,
90,X,7,30.52657142857143,,0,False,sp3,,,,,,,,,,
91,X,8,29.466575,,0,False,sp3,,,,,,,,,,
92,X,8,36.08561625,,0,False,sp3,,,,,,,,,,
