Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
5,0.0,B  - B~   |,10.811,oplsaa.lt,B,5
5,0.0,B  - B~   |,10.811,oplsaa2024.lt,B,5
