Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
703,3.0,La - La   | La+3,138.905,oplsaa.lt,La,57
644,3.0,"""Lanthanum Ion La+3""",138.906,oplsaa2008.lt,La,57
703,3.0,La - La   | La+3,138.905,oplsaa2024.lt,La,57
