Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
7,0.0,N  - N~   |,14.007,oplsaa.lt,N,7
94,-0.43,"N  - NZ   | N IN CH3CN Mol.Phys.,63,547 (1988)",14.007,oplsaa.lt,N,7
127,-1.02,N  - NT   | Ammonia - OPLS-AA,14.007,oplsaa.lt,N,7
130,-0.57,N  - N~   | N in DMF - united atom,14.007,oplsaa.lt,N,7
237,-0.76,N  - N~   | N: primary amide. alkane parameters.,14.007,oplsaa.lt,N,7
238,-0.5,N  - N~   | N: secondary amide 279 for formyl H.,14.007,oplsaa.lt,N,7
239,-0.14,N  - N~   | N: tertiary amide NEW TERT AMIDE PARAMETERS:,14.007,oplsaa.lt,N,7
249,-0.542,"N  - N~   | N in O=C(NH2)2 Urea 33, 323 (93)",14.007,oplsaa.lt,N,7
251,-0.49,N  - N~   | N in imide,14.007,oplsaa.lt,N,7
262,-0.43,N  - NZ   | N benzonitrile,14.007,oplsaa.lt,N,7
265,-0.385,N  - N~   | N: N-phenylacetamide,14.007,oplsaa.lt,N,7
286,-0.4,"N  - N3   | N (NH4+) JPC,90,2174 (1986) N3 sigma and eps changed 5/",14.007,oplsaa.lt,N,7
287,-0.3,"N  - N3   | N (RNH3+) """,14.007,oplsaa.lt,N,7
288,0.0,"N  - N3   | N (R4N+) "" Ammonium Ions",14.007,oplsaa.lt,N,7
300,-0.8,N  - N2   | N: guanidinium NH2,14.007,oplsaa.lt,N,7
303,-0.7,N  - N2   | N: guanidinium NHR,14.007,oplsaa.lt,N,7
309,-0.2,N  - N3   | N (R2NH2+),14.007,oplsaa.lt,N,7
311,-0.46,N  - NC   | DAP N1 Diamino-,14.007,oplsaa.lt,N,7
313,-0.85,N  - N2   | DAP N-amine,14.007,oplsaa.lt,N,7
319,-0.6,N  - NA   | Uracil N1 -use 938 for nucleoside,14.007,oplsaa.lt,N,7
321,-0.51,N  - NA   | Uracil N3,14.007,oplsaa.lt,N,7
