Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
13,0.0,Al - Al   |,26.982,oplsaa.lt,Al,13
13,0.0,Al - Al   |,26.982,oplsaa2024.lt,Al,13
