Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber
4,0.0,Be - Be   | to zero by BOSS.,9.012,oplsaa.lt,Be,4
4,0.0,Be - Be   | to zero by BOSS.,9.012,oplsaa2024.lt,Be,4
